age,gender,study_hours_per_day,sleep_hours,social_media_hours,gaming_hours,exercise_minutes,assignments_completed,attendance_percentage,stress_level,productivity_score
23,Female,4.35,3.63,2.73,5.26,111,2,57.21,10,33.78
20,Male,6.14,6.58,1.51,1.73,28,10,91.27,10,48.99
29,Female,4.98,3.26,3.63,4.71,102,8,63.14,2,36.6
27,Female,3.19,4.58,3.95,2.52,28,18,40.51,6,19.87
24,Male,7.67,6.21,1.59,5.65,105,7,45.53,6,52.9
29,Other,7.18,3.52,3.74,0.16,12,3,47.58,10,47.31
21,Female,9.06,6.36,5.99,4.44,28,15,43.5,8,41.23
23,Female,6.37,4.86,1.37,5.13,103,17,75.22,6,53.81
26,Male,4.19,4.87,2.87,3.38,42,11,44.79,3,25.99
19,Female,7.28,9.56,0.81,2.55,107,6,79.15,10,73.18
23,Male,6.38,7.83,1.72,1.36,46,2,54.99,10,55.34
27,Male,6.36,9.51,3.46,0.2,75,13,86.6,10,77.35
27,Male,8.57,7.03,7.8,5.38,26,3,77.02,3,78.35
24,Male,9.15,9.35,5.59,0.57,48,7,93.99,4,76.03
21,Male,2.21,8.86,7.45,5.5,114,6,67.85,8,47.86
20,Other,3.48,9.98,0.84,3.49,118,10,63.49,5,67.31
24,Female,6.68,6.52,7.54,3.08,31,1,59.7,2,59.99
24,Male,5.79,7.87,4.09,4.52,65,4,50.91,10,49.36
19,Male,6.7,4.12,2.26,2.94,71,19,60.01,8,42.69
22,Female,4.61,9.58,6.76,2.27,27,5,40.5,4,47.04
21,Male,4.42,5.79,4.81,5.98,31,19,94.71,10,52.6
18,Female,1.62,9.42,0.73,4.86,50,4,98.42,7,32.6
24,Female,6.42,3.7,4.28,4.09,61,1,94.13,8,35.45
28,Female,2.17,6.61,5.14,5.93,85,9,44.19,6,27.4
22,Male,6.87,3.01,0.14,0.38,17,14,48.52,9,40.96
18,Male,9.69,5.91,4.4,4.02,113,14,89.64,8,68.64
28,Male,2.94,3.58,2.91,1.17,70,1,69.88,8,43.84
21,Male,1.85,6.14,3.65,4.12,33,0,43.56,5,33.48
17,Male,0.73,6.89,0.87,0.97,109,3,59.49,4,14.94
28,Female,4.1,8.97,4.02,4.15,17,11,61.87,7,62.43
26,Female,2.54,5.07,7.88,0.93,82,19,78.51,9,29.18
22,Other,5.17,6.97,5.9,5.26,101,13,43.84,10,32.14
29,Female,5.48,3.47,7.42,5.53,80,0,94.18,4,39.03
28,Male,3.82,9.39,2.22,2.71,82,11,45.32,5,54.18
25,Female,7.62,6.16,3.06,0.92,55,6,62.81,7,52.21
17,Male,9.1,4.77,5.19,3.04,14,14,42.29,2,53.17
27,Male,2.51,6.24,5.92,0.61,53,17,75.74,2,43.35
27,Female,8.44,6.37,2.43,2.87,32,8,93.89,9,59.01
26,Female,1.75,8.2,2.78,2.72,64,19,92.55,9,26.24
28,Female,2.67,9.82,1.05,1.4,33,6,67.38,6,42.64
28,Male,5.83,4.3,5.43,3.99,66,13,52.89,4,33.27
19,Male,3.41,3.38,2.79,0.01,5,6,52.3,7,35.68
28,Male,0.9,7.59,1.11,4.94,116,9,48.27,10,35.67
23,Male,3.3,9.19,5.07,0.95,118,2,73.23,9,38.65
20,Male,9.1,6.96,0.1,1.04,20,7,52.2,4,74.5
25,Female,2.16,3.56,7.6,3.93,68,2,67.99,2,43.79
19,Female,7.76,5.95,5.13,4.43,26,5,98.35,10,54.75
21,Male,7.36,7.58,4.86,2.9,104,12,48.01,8,58.29
19,Female,1.51,5.3,5.18,3.27,71,9,60.08,3,45.33
23,Male,3.63,8.91,2.53,0.37,79,8,86.49,1,55.92
21,Other,2.3,4.57,1.87,4.19,78,8,63.72,9,21.43
25,Male,0.72,5.55,4.29,3.82,9,17,73.9,2,17.71
23,Female,2.14,9.42,7.55,0.92,60,4,42.01,1,36.04
18,Female,2.41,7.01,2.25,0.48,3,0,46.14,9,31.11
20,Female,2.08,3.04,5.73,1.56,109,5,72.68,5,19.22
25,Male,1.37,4.71,7.79,0.36,110,3,43.86,3,29.34
28,Female,5.5,8.27,4.4,1.72,17,7,92,5,64.12
18,Male,3.57,3.36,3.67,3.15,13,10,90.69,10,33.96
26,Male,9.13,9.95,5.98,3.45,48,18,40.12,5,55.79
25,Male,2.28,9.29,1.13,5.64,39,17,43.88,3,49.32
26,Female,6.23,4.57,0.26,2.19,60,9,87.03,2,71.05
21,Female,9.06,9.27,2.81,0.05,70,3,81.91,1,99.9
18,Male,0.95,7.9,6.7,0.12,4,0,45.17,7,38.16
20,Female,5.4,5.98,0.62,2.89,68,18,52.43,3,54.77
28,Female,4.78,4.37,4.73,1.69,70,13,56.21,4,46.46
28,Female,9.32,4.4,0.41,1.02,72,13,74.06,5,59.32
23,Male,6.81,7.16,4.01,3.45,83,7,58.8,4,51.14
28,Female,3.82,5.91,1.04,0.62,21,4,53.12,8,38.85
29,Female,7.26,7.17,4.86,3.65,90,4,58.03,7,51.57
24,Male,6.04,5.31,2.48,5.41,108,6,98.34,3,60.03
